,cycle,ambient_temperature,datetime,capacity
122,123,24,2008-05-17 07:25:19,1.3682657783199066
123,124,24,2008-05-17 12:21:15,1.3573151296618016
124,125,24,2008-05-17 17:15:37,1.3524934638801596
125,126,24,2008-05-17 22:10:51,1.3474099151661236
126,127,24,2008-05-18 03:05:19,1.3370075130842318
127,128,24,2008-05-18 08:00:50,1.3312352966718526
128,129,24,2008-05-18 12:44:48,1.3259303781727643
129,130,24,2008-05-18 17:36:29,1.321578743867529
130,131,24,2008-05-18 22:31:45,1.321225074066109
131,132,24,2008-05-19 03:27:07,1.3156485301862682
132,133,24,2008-05-19 15:34:33,1.3209025697502388
133,134,24,2008-05-19 20:59:48,1.3474328767273906
134,135,24,2008-05-20 01:16:42,1.3260128072353616
135,136,24,2008-05-20 06:12:06,1.3101186784831063
136,137,24,2008-05-20 11:07:23,1.30521620229393
137,138,24,2008-05-20 15:57:27,1.3004061951355774
138,139,24,2008-05-20 20:50:39,1.300235735841116
139,140,24,2008-05-21 01:39:38,1.2895066722480755
140,141,24,2008-05-21 06:24:27,1.279253057384795
141,142,24,2008-05-21 11:18:06,1.2792078171714618
142,143,24,2008-05-21 16:10:21,1.274036760902923
143,144,24,2008-05-21 21:02:09,1.2741273923001468
144,145,24,2008-05-22 01:42:59,1.2637639426440779
145,146,24,2008-05-22 06:32:40,1.2581373688955233
146,147,24,2008-05-22 11:23:22,1.253259864055301
147,148,24,2008-05-22 16:17:58,1.2532313315493426
148,149,24,2008-05-22 20:59:50,1.2480874960313577
149,150,24,2008-05-23 12:13:16,1.2534354284944844
150,151,24,2008-05-23 20:14:29,1.2898048773266901
151,152,24,2008-05-24 01:09:21,1.2635402021758835
152,153,24,2008-05-24 06:00:20,1.2479761706842853
153,154,24,2008-05-24 10:42:50,1.2321202877943334
154,155,24,2008-05-24 15:31:10,1.2271137666213534
155,156,24,2008-05-24 20:21:13,1.2217397581377356
156,157,24,2008-05-25 01:06:49,1.211102678915174
157,158,24,2008-05-25 05:57:17,1.2056159765131735
158,159,24,2008-05-25 10:51:37,1.2008936262717274
159,160,24,2008-05-25 15:37:08,1.1905903985558335
160,161,24,2008-05-25 20:23:04,1.185179251041941
161,162,24,2008-05-26 01:13:02,1.1796706818144624
162,163,24,2008-05-26 06:01:08,1.1745952836753915
163,164,24,2008-05-26 10:44:38,1.15381833159625
164,165,24,2008-05-26 15:30:43,1.1644009557372264
165,166,24,2008-05-26 20:21:04,1.1587974947916069
166,167,24,2008-05-27 15:52:41,1.1749748834769171
167,168,24,2008-05-27 20:45:42,1.1856752327929356
